class,precision,recall,fscore,total
0,0.6,0.75,0.6666666666666665,4
1,1.0,1.0,1.0,2
2,1.0,1.0,1.0,4
3,0.75,1.0,0.8571428571428571,3
4,1.0,1.0,1.0,2
5,1.0,0.5,0.6666666666666666,2
6,0.8,1.0,0.888888888888889,4
7,0.5,0.6666666666666666,0.5714285714285715,3
8,1.0,1.0,1.0,3
9,1.0,0.5,0.6666666666666666,4
10,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
11,1.0,1.0,1.0,4
12,1.0,0.6666666666666666,0.8,3
13,1.0,0.75,0.8571428571428571,4
14,0.75,1.0,0.8571428571428571,3
15,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
16,1.0,1.0,1.0,3
17,0.75,0.75,0.75,4
18,1.0,0.6666666666666666,0.8,3
19,0.3333333333333333,0.5,0.4,2
20,1.0,1.0,1.0,3
21,0.75,1.0,0.8571428571428571,3
22,1.0,1.0,1.0,3
23,1.0,1.0,1.0,2
24,0.75,1.0,0.8571428571428571,3
25,1.0,0.3333333333333333,0.5,3
